,experiment,originalStart,originalEnd,topology,parameter,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,start,end,startUnix,endUnix
19,512,2023-11-07 22:07:04.707052200,2023-11-07 22:37:04.708063000,unl,informed0,16,8,20,16,8,4,0.5,1.0,2023-11-07 22:14:34.707052200,2023-11-07 22:29:34.708063000,1699395274,1699396174
21,513,2023-11-07 22:40:35.680725300,2023-11-07 23:10:35.685948900,unl,informed1,16,8,20,16,8,4,0.5,3.0,2023-11-07 22:48:05.680725300,2023-11-07 23:03:05.685948900,1699397285,1699398185
24,403,2023-10-05 02:08:38.836577400,2023-10-05 02:38:38.838854700,unl,informed2,16,8,20,16,8,4,0.5,0.5,2023-10-05 02:16:08.836577400,2023-10-05 02:31:08.838854700,1696472168,1696473068
25,404,2023-10-05 02:42:12.104487300,2023-10-05 03:12:12.156487200,unl,informed2,16,8,20,16,8,4,0.5,0.5,2023-10-05 02:49:42.104487300,2023-10-05 03:04:42.156487200,1696474182,1696475082
27,518,2023-11-08 01:28:06.506379000,2023-11-08 01:58:06.515430800,unl,informed2,16,8,20,16,8,4,0.5,0.5,2023-11-08 01:35:36.506379000,2023-11-08 01:50:36.515430800,1699407336,1699408236
28,405,2023-10-05 03:15:44.641811200,2023-10-05 03:45:44.644068700,unl,informed3,6,4,8,2,2,2,0.25,1.0,2023-10-05 03:23:14.641811200,2023-10-05 03:38:14.644068700,1696476194,1696477094
29,406,2023-10-05 03:49:18.120429500,2023-10-05 04:19:18.122983600,unl,informed3,6,4,8,2,2,2,0.25,1.0,2023-10-05 03:56:48.120429500,2023-10-05 04:11:48.122983600,1696478208,1696479108
32,520,2023-11-08 02:35:05.910427000,2023-11-08 03:05:05.911856500,unl,informed3,6,4,8,2,2,2,0.25,1.0,2023-11-08 02:42:35.910427000,2023-11-08 02:57:35.911856500,1699411355,1699412255
33,521,2023-11-08 03:08:36.146951600,2023-11-08 03:38:36.148642100,unl,informed3,6,4,8,2,2,2,0.25,1.0,2023-11-08 03:16:06.146951600,2023-11-08 03:31:06.148642100,1699413366,1699414266
36,412,2023-10-05 07:10:41.394283100,2023-10-05 07:40:41.433055700,unl,informed5,6,4,8,2,2,4,0.25,0.5,2023-10-05 07:18:11.394283100,2023-10-05 07:33:11.433055700,1696490291,1696491191
37,413,2023-10-05 07:44:14.513881700,2023-10-05 08:14:14.518743100,unl,informed5,6,4,8,2,2,4,0.25,0.5,2023-10-05 07:51:44.513881700,2023-10-05 08:06:44.518743100,1696492304,1696493204
39,527,2023-11-08 06:29:42.092170800,2023-11-08 06:59:42.149364700,unl,informed5,6,4,8,2,2,4,0.25,0.5,2023-11-08 06:37:12.092170800,2023-11-08 06:52:12.149364700,1699425432,1699426332
41,415,2023-10-05 08:51:21.426051000,2023-10-05 09:21:21.431806000,unl,informed6,20,16,24,8,16,8,0.5,1.0,2023-10-05 08:58:51.426051000,2023-10-05 09:13:51.431806000,1696496331,1696497231
42,416,2023-10-05 09:24:55.145121200,2023-10-05 09:54:55.147314800,unl,informed6,20,16,24,8,16,8,0.5,1.0,2023-10-05 09:32:25.145121200,2023-10-05 09:47:25.147314800,1696498345,1696499245
43,528,2023-11-08 07:03:18.589852000,2023-11-08 07:33:18.592158500,unl,informed6,20,16,24,8,16,8,0.5,1.0,2023-11-08 07:10:48.589852000,2023-11-08 07:25:48.592158500,1699427448,1699428348
