,experiment,messageReceived,messageDuplicated,graft,prune,iwant,ihave
130,555,1313936.0,229268.0,1930.0,15.0,1.0,13871.0
131,556,688170.0,105048.0,1734.0,0.0,12.0,100280.0
132,557,771626.0,122985.0,1779.0,0.0,1.0,25489.0
133,558,1152895.0,152685.0,1814.0,0.0,16.0,66542.0
134,559,96420.0,12440.0,0.0,0.0,1.0,5596.0
135,561,840138.0,113148.0,291.0,19.0,48.0,258718.0
136,562,550478.0,78578.0,282.0,24.0,7.0,116087.0
137,563,998155.0,133186.0,273.0,5.0,20.0,142422.0
138,564,897767.0,124291.0,309.0,17.0,5.0,140731.0
139,565,1814333.0,141270.0,475.0,71.0,27.0,229557.0
140,566,1126423.0,89259.0,465.0,2.0,16.0,123914.0
141,567,1692480.0,120189.0,461.0,37.0,21.0,224255.0
142,568,1465699.0,114684.0,464.0,4.0,1.0,77409.0
143,569,3877132.0,258657.0,465.0,54.0,16.0,123629.0
144,570,4070093.0,262736.0,479.0,37.0,12.0,98975.0
145,571,529134.0,34263.0,7.0,0.0,1.0,12861.0
146,574,80216.0,17558.0,231.0,11.0,6.0,12114.0
147,575,181598.0,46182.0,257.0,71.0,8.0,52148.0
148,576,224723.0,56453.0,230.0,18.0,27.0,56074.0
149,577,218691.0,45835.0,312.0,114.0,2.0,26913.0
150,578,481342.0,91018.0,306.0,84.0,10.0,37118.0
151,579,538200.0,111208.0,348.0,166.0,16.0,159294.0
152,580,55999.0,11544.0,0.0,0.0,0.0,17707.0
153,583,2685.0,3248.0,511.0,0.0,0.0,6.0
154,584,24885.0,10051.0,535.0,0.0,0.0,16.0
155,585,39067.0,12071.0,433.0,0.0,0.0,0.0
156,586,260534.0,37193.0,473.0,39.0,0.0,1140.0
157,587,299392.0,35611.0,477.0,5.0,3.0,18585.0
158,588,643426.0,71941.0,468.0,56.0,16.0,103875.0
159,589,540343.0,47219.0,474.0,48.0,10.0,208227.0
160,590,896000.0,86077.0,473.0,70.0,24.0,146246.0
161,591,1898394.0,141417.0,488.0,55.0,20.0,155444.0
162,592,497665.0,44642.0,463.0,55.0,14.0,124260.0
163,593,1276905.0,94456.0,473.0,5.0,12.0,129084.0
164,594,2037600.0,150936.0,478.0,74.0,40.0,243997.0
165,595,1133735.0,126462.0,274.0,0.0,50.0,332558.0
166,596,1310244.0,144854.0,280.0,18.0,42.0,353590.0
167,597,866856.0,94783.0,270.0,0.0,20.0,194028.0
168,598,717564.0,72027.0,371.0,7.0,11.0,198275.0
169,599,811838.0,82939.0,336.0,44.0,35.0,313573.0
170,600,1335319.0,132764.0,343.0,43.0,47.0,319670.0
171,601,85220.0,8969.0,0.0,0.0,9.0,22238.0
172,607,1275.0,1774.0,464.0,6.0,3.0,40.0
173,608,2602.0,3039.0,469.0,59.0,0.0,185.0
174,609,3339.0,2099.0,460.0,2.0,0.0,25.0
175,610,91100.0,17770.0,396.0,70.0,0.0,1341.0
176,611,235553.0,31861.0,366.0,0.0,0.0,16205.0
177,612,488215.0,58416.0,405.0,72.0,0.0,25890.0
178,613,305800.0,43103.0,370.0,64.0,28.0,75453.0
179,614,672376.0,80242.0,384.0,54.0,30.0,170836.0
180,615,878773.0,94054.0,355.0,1.0,33.0,174195.0
181,616,40016.0,3907.0,0.0,0.0,0.0,6041.0
182,618,3599579.0,517024.0,1480.0,252.0,31.0,232204.0
183,619,2326911.0,187478.0,2128.0,0.0,5.0,17041.0
184,620,2990158.0,228998.0,2084.0,0.0,5.0,6993.0
185,621,2861179.0,260940.0,2136.0,0.0,1.0,4409.0
186,622,614793.0,61727.0,1932.0,0.0,0.0,0.0
187,623,2047007.0,160896.0,2142.0,0.0,2.0,386.0
188,624,2980593.0,265412.0,2124.0,0.0,0.0,7492.0
189,625,246347.0,21609.0,1.0,0.0,0.0,576.0
190,628,95882.0,43166.0,1286.0,278.0,0.0,7627.0
191,629,501815.0,137591.0,1170.0,35.0,13.0,106816.0
192,630,390168.0,114918.0,1256.0,374.0,29.0,72479.0
193,631,1227274.0,239949.0,1487.0,195.0,7.0,83559.0
194,632,971535.0,198422.0,1545.0,495.0,38.0,93139.0
195,633,1829890.0,394807.0,1297.0,159.0,6.0,203481.0
196,634,139878.0,30163.0,0.0,0.0,0.0,17419.0
197,637,8264.0,13406.0,2106.0,0.0,0.0,0.0
198,638,128178.0,62032.0,1954.0,0.0,0.0,0.0
199,639,624831.0,140562.0,2140.0,0.0,0.0,0.0
200,640,93563.0,20561.0,0.0,0.0,0.0,0.0
201,642,763405.0,114632.0,294.0,12.0,6.0,310227.0
202,643,1061574.0,93930.0,478.0,56.0,72.0,356889.0
203,644,1090898.0,90203.0,487.0,3.0,42.0,276795.0
204,645,1027215.0,94678.0,470.0,50.0,39.0,418386.0
205,646,1631303.0,123439.0,477.0,1.0,36.0,163413.0
206,647,1122011.0,109736.0,481.0,71.0,0.0,217902.0
207,652,55960.0,17143.0,241.0,83.0,15.0,113466.0
208,653,329302.0,86484.0,228.0,52.0,24.0,212484.0
209,654,289852.0,84083.0,192.0,18.0,93.0,206334.0
210,655,355050.0,69279.0,302.0,90.0,15.0,124359.0
211,656,690868.0,133026.0,270.0,73.0,45.0,259518.0
212,657,351292.0,70326.0,236.0,36.0,45.0,547323.0
213,658,29993.0,6086.0,0.0,0.0,0.0,68649.0
214,661,48864.0,7813.0,548.0,0.0,0.0,6.0
215,662,678236.0,67489.0,541.0,0.0,0.0,36.0
216,663,897920.0,81701.0,539.0,0.0,3.0,6.0
217,664,123227.0,11093.0,0.0,0.0,0.0,0.0
