,experiment,_time,messageDuplicated,messageReceived,graft,prune,iwant,ihave
195,391,2023-10-04 19:31:20+00:00,3120.0,404.0,0.0,0.0,0.0,252.0
196,391,2023-10-04 19:31:30+00:00,2677.0,357.0,0.0,0.0,0.0,212.0
197,391,2023-10-04 19:31:40+00:00,2598.0,345.0,0.0,0.0,0.0,243.0
198,391,2023-10-04 19:31:50+00:00,2758.0,359.0,0.0,0.0,0.0,247.0
199,391,2023-10-04 19:32:00+00:00,2848.0,378.0,0.0,0.0,0.0,210.0
200,391,2023-10-04 19:32:10+00:00,2648.0,353.0,0.0,0.0,0.0,253.0
201,391,2023-10-04 19:32:20+00:00,2508.0,326.0,0.0,0.0,0.0,238.0
202,391,2023-10-04 19:32:30+00:00,2946.0,386.0,0.0,0.0,0.0,213.0
203,391,2023-10-04 19:32:40+00:00,2609.0,338.0,0.0,0.0,0.0,243.0
204,391,2023-10-04 19:32:50+00:00,2542.0,336.0,0.0,0.0,0.0,244.0
205,391,2023-10-04 19:33:00+00:00,2931.0,383.0,0.0,0.0,0.0,210.0
206,391,2023-10-04 19:33:10+00:00,2508.0,325.0,0.0,0.0,0.0,242.0
207,391,2023-10-04 19:33:20+00:00,2545.0,332.0,0.0,0.0,0.0,249.0
208,391,2023-10-04 19:33:30+00:00,2881.0,379.0,0.0,0.0,0.0,208.0
209,391,2023-10-04 19:33:40+00:00,2529.0,328.0,0.0,0.0,0.0,245.0
210,391,2023-10-04 19:33:50+00:00,2522.0,327.0,0.0,0.0,0.0,249.0
211,391,2023-10-04 19:34:00+00:00,3067.0,397.0,0.0,0.0,0.0,211.0
212,391,2023-10-04 19:34:10+00:00,2490.0,326.0,0.0,0.0,0.0,241.0
213,391,2023-10-04 19:34:20+00:00,2409.0,315.0,0.0,0.0,0.0,249.0
214,391,2023-10-04 19:34:30+00:00,2927.0,384.0,0.0,0.0,0.0,207.0
215,391,2023-10-04 19:34:40+00:00,2540.0,327.0,0.0,0.0,0.0,245.0
216,391,2023-10-04 19:34:50+00:00,2564.0,335.0,0.0,0.0,0.0,243.0
217,391,2023-10-04 19:35:00+00:00,3106.0,405.0,0.0,0.0,0.0,208.0
218,391,2023-10-04 19:35:10+00:00,2534.0,327.0,0.0,0.0,0.0,243.0
219,391,2023-10-04 19:35:20+00:00,2553.0,332.0,0.0,0.0,0.0,248.0
220,391,2023-10-04 19:35:30+00:00,2876.0,378.0,0.0,0.0,0.0,208.0
221,391,2023-10-04 19:35:40+00:00,2535.0,329.0,0.0,0.0,0.0,255.0
222,391,2023-10-04 19:35:50+00:00,2584.0,337.0,0.0,0.0,0.0,237.0
223,391,2023-10-04 19:36:00+00:00,2405.0,311.0,0.0,0.0,0.0,211.0
224,391,2023-10-04 19:36:10+00:00,2382.0,310.0,0.0,0.0,0.0,198.0
225,391,2023-10-04 19:36:20+00:00,162.0,20.0,0.0,0.0,0.0,55.0
226,391,2023-10-04 19:40:00+00:00,10812.0,1448.0,1537.0,125.0,0.0,1211.0
227,391,2023-10-04 19:40:10+00:00,37527.0,5421.0,0.0,0.0,0.0,2107.0
228,391,2023-10-04 19:40:20+00:00,28644.0,4145.0,0.0,0.0,0.0,1904.0
229,391,2023-10-04 19:40:30+00:00,27731.0,3961.0,0.0,0.0,0.0,1621.0
230,391,2023-10-04 19:40:40+00:00,36439.0,5196.0,0.0,0.0,0.0,1994.0
231,391,2023-10-04 19:40:50+00:00,27314.0,3894.0,0.0,0.0,0.0,1781.0
232,391,2023-10-04 19:41:00+00:00,27352.0,3897.0,0.0,0.0,0.0,1614.0
233,391,2023-10-04 19:41:10+00:00,36429.0,5200.0,0.0,0.0,0.0,2003.0
234,391,2023-10-04 19:41:20+00:00,27273.0,3890.0,0.0,0.0,0.0,1779.0
235,391,2023-10-04 19:41:30+00:00,26499.0,3786.0,0.0,0.0,2.0,1569.0
236,391,2023-10-04 19:41:40+00:00,33493.0,4818.0,0.0,0.0,0.0,1871.0
